iter	Logloss
0	0.6105621711
1	0.5772768119
2	0.5620380809
3	0.5520299828
4	0.5373865122
5	0.5286771648
6	0.5205697925
7	0.5108724466
8	0.5047736538
9	0.4967481269
10	0.4931037381
11	0.4871269608
12	0.4825990048
13	0.4790144284
14	0.4711780673
15	0.463416149
16	0.4599409072
17	0.4501459242
18	0.4458678634
19	0.4416443803
20	0.4317502744
21	0.424494088
22	0.4177504953
23	0.4144019556
24	0.4089947897
25	0.4044484057
26	0.4020992321
27	0.3972325341
28	0.3941830462
29	0.3910365105
30	0.3893690643
31	0.3849190435
32	0.3813950749
33	0.37603731
34	0.3705569938
35	0.3660214608
36	0.3624981715
37	0.3593709734
38	0.3562805935
39	0.3516942576
40	0.3474237838
41	0.3434373163
42	0.3366936682
43	0.3332128314
44	0.3313963815
45	0.3300089498
46	0.3295930872
47	0.3266334035
48	0.3237740601
49	0.3217076366
50	0.3189880836
51	0.3148020925
52	0.3131612273
53	0.3110844991
54	0.3093297561
55	0.3053824506
56	0.3051299756
57	0.3034361077
58	0.3020835147
59	0.301334073
60	0.2994248847
61	0.2965718901
62	0.294225809
63	0.2924565571
64	0.292276857
65	0.2891024424
66	0.2876846077
67	0.284960395
68	0.2848260739
69	0.2830001048
70	0.281185163
71	0.2801358165
72	0.276116233
73	0.275738894
74	0.2737893495
75	0.2736914675
76	0.2724155545
77	0.2712746723
78	0.2700348989
79	0.2698831744
80	0.2671655523
81	0.2668708344
82	0.2646085144
83	0.2632823017
84	0.2605635772
85	0.2586957064
86	0.2558634124
87	0.2541853817
88	0.2531836954
89	0.251072054
90	0.2493589158
91	0.2487220329
92	0.2477738334
93	0.2456285398
94	0.2451154906
95	0.2441337886
96	0.2427175186
97	0.2426294661
98	0.2399438394
99	0.2377792238
100	0.2363109955
101	0.2353426701
102	0.235190282
103	0.2324575428
104	0.2313095527
105	0.229810124
106	0.2295832327
107	0.2287602506
108	0.2275274152
109	0.2274731098
110	0.2273867554
111	0.2270983207
112	0.2256099533
113	0.2241813946
114	0.2221101039
115	0.2203170157
116	0.218569506
117	0.2177637337
118	0.2169282728
119	0.2153969156
120	0.2144687724
121	0.2129598011
122	0.2118299012
123	0.2104130771
124	0.2096839729
125	0.207677698
126	0.2076247697
127	0.207568373
128	0.2065886638
129	0.205324549
130	0.2045140802
131	0.2035994569
132	0.2025447535
133	0.201570412
134	0.2004668615
135	0.1998591809
136	0.1988943032
137	0.1983095343
138	0.1973725084
139	0.1964764305
140	0.195862775
141	0.1943059049
142	0.1938202238
143	0.1927511727
144	0.1912992295
145	0.1900326257
146	0.1890183043
147	0.188530899
148	0.1871809634
149	0.1870064283
150	0.1865305335
151	0.1861116861
152	0.1854173257
153	0.1849202802
154	0.1840256756
155	0.1835176837
156	0.1830877573
157	0.1825110448
158	0.1817953985
159	0.1814991109
160	0.1805867733
161	0.1797573123
162	0.1797114595
163	0.1791061001
164	0.1787514705
165	0.1779544447
166	0.1778870272
167	0.1776457056
168	0.1769477053
169	0.1763386747
170	0.1762414634
171	0.1751129222
172	0.1748114102
173	0.1738192981
174	0.1729533491
175	0.1725109629
176	0.1724859188
177	0.1716147769
178	0.1708191313
179	0.1704910179
180	0.1695668189
181	0.1688569915
182	0.1685971974
183	0.1678769164
184	0.167095102
185	0.1660352263
186	0.1656890694
187	0.1647932352
188	0.1641239551
189	0.1636491991
190	0.163096772
191	0.1621871968
192	0.1614307627
193	0.1609806293
194	0.1607740914
195	0.160513248
196	0.1602817068
197	0.1602485833
198	0.1600927272
199	0.1597583802
200	0.1593840339
201	0.1587465847
202	0.1586519438
203	0.1581867295
204	0.1577769511
205	0.1572317911
206	0.1569347214
207	0.1563972541
208	0.1562266307
209	0.1562061017
210	0.1560321167
211	0.1556798495
212	0.1552224007
213	0.154164291
214	0.1538225392
215	0.1536375095
216	0.1527535332
217	0.1520777563
218	0.1512612227
219	0.1504804892
220	0.1502192849
221	0.1497017574
222	0.1492296291
223	0.1490834766
224	0.1485676339
225	0.1481501343
226	0.1476891927
227	0.1475183912
228	0.1469891618
229	0.1460949354
230	0.1456270049
231	0.1452966246
232	0.1449716449
233	0.1447480733
234	0.1441289675
235	0.1432387742
236	0.1429798956
237	0.1422721119
238	0.141734579
239	0.1414237795
240	0.1409156053
241	0.1406986892
242	0.1402987494
243	0.1400990543
244	0.1400781812
245	0.1397742165
246	0.1392980981
247	0.1390227969
248	0.1388461856
249	0.1384466589
250	0.138422583
251	0.1376840654
252	0.1372741153
253	0.136868304
254	0.136559462
255	0.1365431265
256	0.1365243462
257	0.1365027283
258	0.1364172044
259	0.136198753
260	0.1355891616
261	0.1353599653
262	0.1349976751
263	0.1345928754
264	0.1338522422
265	0.1334108026
266	0.1330666954
267	0.1329251252
268	0.1327525373
269	0.1323187083
270	0.1321503898
271	0.1318793623
272	0.1313260562
273	0.1310247219
274	0.1306638193
275	0.1304439114
276	0.1302663466
277	0.1296665035
278	0.1292657979
279	0.128814719
280	0.1287111927
281	0.1286541725
282	0.1284428728
283	0.1284270986
284	0.1282035687
285	0.1281817829
286	0.1279213967
287	0.127507216
288	0.1267640619
289	0.1263483517
290	0.1258885959
291	0.1254834216
292	0.1250110071
293	0.1247960403
294	0.1245595791
295	0.1242310386
296	0.1239597599
297	0.1237596621
298	0.1232674572
299	0.122890252
300	0.1224641254
301	0.1217662337
302	0.121547213
303	0.121137284
304	0.1207423043
305	0.1204865837
306	0.1203188355
307	0.120306129
308	0.1199471136
309	0.1195193483
310	0.1191681258
311	0.1189983538
312	0.1187447469
313	0.118579405
314	0.1185642232
315	0.118385168
316	0.1180760135
317	0.1177189219
318	0.1177089785
319	0.1174451477
320	0.1174376686
321	0.1171502647
322	0.1168456735
323	0.1166962111
324	0.1164077442
325	0.1161211641
326	0.1157926221
327	0.11553542
328	0.1152087537
329	0.1146716749
330	0.114422375
331	0.1140426742
332	0.1138407823
