iter	Passed	Remaining
0	137	1371046
1	169	845899
2	215	718360
3	262	656621
4	310	619796
5	358	596727
6	408	583169
7	472	590137
8	528	586355
9	588	587870
10	627	570255
11	670	558187
12	708	544016
13	753	537565
14	798	531313
15	843	526508
16	891	523305
17	932	517116
18	970	509974
19	1010	504162
20	1058	503144
21	1111	504108
22	1158	502425
23	1199	498678
24	1240	494893
25	1291	495485
26	1342	495895
27	1390	495213
28	1442	496025
29	1484	493415
30	1530	492230
31	1583	493286
32	1624	490754
33	1673	490392
34	1733	493591
35	1785	494082
36	1826	491791
37	1878	492362
38	1925	491667
39	1964	489269
40	2008	487846
41	2054	487113
42	2101	486657
43	2147	485981
44	2191	484718
45	2238	484325
46	2281	483152
47	2319	480875
48	2371	481532
49	2421	481918
50	2475	482844
51	2520	482209
52	2563	481041
53	2619	482381
54	2662	481479
55	2727	484252
56	2771	483396
57	2809	481578
58	2852	480700
59	2903	481087
60	2948	480353
61	2989	479177
62	3034	478578
63	3075	477509
64	3111	475533
65	3149	474000
66	3190	473044
67	3222	470614
68	3255	468608
69	3317	470669
70	3403	475967
71	3463	477540
72	3495	475358
73	3531	473751
74	3573	472941
75	3612	471769
76	3653	470887
77	3696	470260
78	3734	469013
79	3783	469156
80	3820	467875
81	3864	467435
82	3905	466609
83	3942	465423
84	3992	465714
85	4035	465153
86	4081	465106
87	4120	464078
88	4167	464049
89	4207	463244
90	4250	462874
91	4287	461759
92	4339	462307
93	4390	462632
94	4439	462927
95	4476	461802
96	4521	461566
97	4560	460770
98	4613	461407
99	4655	460914
100	4708	461479
101	4748	460807
102	4786	459950
103	4823	458940
104	4866	458572
105	4904	457766
106	4919	454862
107	4966	454889
108	5000	453788
109	5039	453065
110	5072	451903
111	5118	451923
112	5163	451804
113	5204	451321
114	5250	451277
115	5296	451329
116	5337	450850
117	5373	450037
118	5411	449302
119	5452	448962
120	5498	448901
121	5543	448825
122	5592	449077
123	5631	448498
124	5667	447770
125	5710	447474
126	5748	446866
127	5784	446138
128	5826	445861
129	5867	445487
130	5916	445761
131	5960	445567
132	5998	445004
133	6043	444928
134	6083	444557
135	6125	444313
136	6169	444128
137	6213	444012
138	6257	443942
139	6295	443364
140	6337	443132
141	6369	442219
142	6410	441900
143	6454	441743
144	6516	442891
145	6560	442774
146	6601	442495
147	6637	441825
148	6684	441918
149	6735	442294
150	6773	441828
151	6819	441851
152	6861	441603
153	6902	441324
154	6946	441244
155	6988	440979
156	7036	441140
157	7072	440565
158	7118	440607
159	7156	440149
160	7193	439623
161	7236	439449
162	7280	439384
163	7321	439130
164	7366	439095
165	7406	438754
166	7445	438402
167	7482	437921
168	7530	438065
169	7577	438155
170	7619	437993
171	7662	437845
172	7708	437855
173	7753	437832
174	7795	437645
175	7840	437636
176	7882	437455
177	7919	437017
178	7954	436411
